ds,yhat,yhat_lower,yhat_upper
2023-09-23,30234.72513846794,24360.315998265465,36114.43964960646
2023-09-24,30293.13879300745,24565.23266916467,36378.05827279019
2023-09-25,30435.775986910052,24959.33276494146,36097.23889988123
2023-09-26,30444.304800462196,24809.05143347646,35721.00146080378
2023-09-27,30602.024239487357,24966.21915780921,36040.30834948653
2023-09-28,30640.468709205627,25199.896223155083,36280.374485854525
2023-09-29,30749.428651200764,25140.008265747998,36523.393472033946
2023-09-30,30886.582829424133,25493.722312117585,36737.99253316298
2023-10-01,31058.489043693786,25364.12546861492,36630.5897298134
2023-10-02,31320.41318178794,25496.11881383285,37306.70216656256
2023-10-03,31452.80245152033,25805.10185074392,37052.12961556101
2023-10-04,31737.572955721756,26070.433026669925,37559.02509990824
2023-10-05,31904.733489375103,25940.288445342954,37298.76123044675
2023-10-06,32142.430191622494,26614.272514786473,37347.56546168087
2023-10-07,32406.607118916254,26717.39340460274,38058.27476618578
2023-10-08,32702.02895720288,27277.56052277459,38337.78280770693
2023-10-09,33082.14509434432,27384.010901747533,38850.00759563261
2023-10-10,33325.60009083747,28274.459519282223,38774.292737086806
2023-10-11,33712.559814786495,28092.596734914805,39080.998439193485
2023-10-12,33971.37415295078,28293.220547444424,39581.85082232148
2023-10-13,34288.65991863142,28807.7708939514,40536.67922659811
2023-10-14,34618.99799426237,28616.451094814496,40216.15931147913
2023-10-15,34965.989910957185,29327.876994233975,40617.40079777797
2023-10-16,35382.152113084754,30279.078566522043,41217.100392678505
2023-10-17,35645.45204454469,29927.34079874911,41269.1920822837
2023-10-18,36035.65452088364,30058.41320613869,41356.93642679384
2023-10-19,36280.99862256125,30806.782169635302,41583.84592554784
2023-10-20,36568.288201485404,31149.964009697647,41919.86525759522
2023-10-21,36852.58967680677,31375.354060189187,42550.925340040565
2023-10-22,37138.282141554424,31396.246952509035,42836.54450751041
2023-10-23,37478.93803821618,32054.698704499744,42981.23599986425
2023-10-24,37653.83874486312,32158.20877934188,43382.83442532118
2023-10-25,37944.29393444404,32472.604881140327,43631.47730102308
2023-10-26,38080.28552752649,32672.361380456216,43983.21499813008
2023-10-27,38250.52008962332,32546.341954725347,44131.53397455164
2023-10-28,38412.084264230194,33171.71973486501,43965.70401809781
2023-10-29,38571.449311821634,33208.56712741143,44580.24829479485
2023-10-30,38784.3041680536,32932.00679671016,44125.26304710962
2023-10-31,38832.02259387752,33262.20271370154,44463.883189924054
2023-11-01,38997.93455387618,33520.63082293466,44629.0030275557
2023-11-02,39013.92392423852,33440.96060441348,44863.073606812504
2023-11-03,39070.43763399995,33725.941471455895,45074.9857366381
2023-11-04,39126.10201874356,33291.86733043817,44813.75693106174
2023-11-05,39188.693545911265,33539.24201789463,45237.13503425089
2023-11-06,39314.944282406446,33647.73032265669,45075.65352309927
2023-11-07,39286.988473915306,33670.16392978971,45147.111374834305
2023-11-08,39388.620983260626,34122.807338800485,45157.85813400162
2023-11-09,39351.89009429731,33854.14918960846,44763.667059636835
2023-11-10,39367.10996964063,33837.75157374634,44830.20736035786
2023-11-11,39392.48849712542,33815.20227660058,44699.7414106096
2023-11-12,39435.11740887036,33650.353134432946,45070.160514567986
2023-11-13,39550.804541868005,33588.51973166423,45203.44922191378
2023-11-14,39520.55389241483,33868.235589842494,45550.80849185226
2023-11-15,39626.86329659644,33678.108510461556,45658.4866386092
2023-11-16,39600.36115367714,34078.31895617496,45139.98961343055
2023-11-17,39629.8662451296,34111.20009539011,45316.63936653399
2023-11-18,39672.06503609571,33732.92762847401,45306.29900363423
2023-11-19,39732.55191949318,34723.80396063199,44985.211279456846
2023-11-20,39865.71081225101,33849.174628683846,45445.80990583238
2023-11-21,39851.24230206587,34001.42691487421,45515.997002364464
2023-11-22,39970.504770271626,34538.87643499597,45595.96820855195
2023-11-23,39953.18958938236,34242.95513090484,45139.87721462585
2023-11-24,39987.41325712754,34593.367911235684,45850.7779714622
2023-11-25,40029.419826214114,34401.02704981511,45408.910692408754
2023-11-26,40084.638257677514,34582.07946172091,45156.544387494716
2023-11-27,40207.572496791974,34529.065542127886,46184.144434025635
2023-11-28,40178.32810197739,34889.4340879025,45917.06619846292
2023-11-29,40278.94374100542,34348.87116590587,45444.48509431185
2023-11-30,40240.04780527804,34736.371294540535,45873.12720121959
2023-12-01,40250.92341929748,34471.07962638733,45701.64993080062
2023-12-02,40269.175874840854,34764.10814276872,45947.72640787012
2023-12-03,40301.74802758371,34364.008087073154,46048.751362791845
2023-12-04,40404.762582113486,34772.842320228636,45966.52516834102
2023-12-05,40359.996410865795,35157.132009739784,45559.10127426813
2023-12-06,40451.15668972324,34648.81454411867,45862.1715504417
2023-12-07,40410.48068323303,34975.36973016583,45986.26293313099
2023-12-08,40428.74410903869,34674.61859227093,45822.14639318869
2023-12-09,40464.873787803896,34947.47263377138,46231.73373400352
2023-12-10,40526.91177002037,35226.75132814274,45827.04206341229
2023-12-11,40671.81144877097,34848.99742047034,46558.927065895834
2023-12-12,40681.87227052429,34333.32164357123,46100.39167669452
2023-12-13,40840.984133176375,35253.95030744526,46407.674497361484
2023-12-14,40881.20441119742,34976.77799615406,46170.16956928326
2023-12-15,40992.753410285135,35260.02554093538,46431.25617137792
2023-12-16,41133.62456816423,35588.34662894807,46870.569319913666
2023-12-17,41310.55691942437,35630.9526832445,47019.796995415105
2023-12-18,41578.850362351775,35953.359345666024,46816.95814583245
2023-12-19,41718.830065532624,36084.880064556244,47449.7499238875
2023-12-20,42012.13052877014,36519.33677671096,47789.8954225934
2023-12-21,42188.32137432703,36393.471378242626,47638.07815226647
2023-12-22,42434.95953739964,36945.027270289065,47760.73339421445
2023-12-23,42707.262796476905,37102.0329079381,48384.120688412826
2023-12-24,43009.150577372486,37400.95667239977,48805.66394472354
2023-12-25,43393.13081720709,38038.10882633405,48971.704564255655
2023-12-26,43636.837352623596,38386.60109829722,49584.08629124105
2023-12-27,44019.38640112459,38242.271054030854,50044.1748042655
2023-12-28,44268.072246112024,38909.518259859644,49964.137905963435
2023-12-29,44568.48486282951,38386.48421912121,50074.638359373246
2023-12-30,44874.24258117303,39531.60769288808,50597.112335877595
2023-12-31,45188.08401301784,39734.037314038665,50973.323185318135
2024-01-01,45561.79651114399,39930.26032399338,51604.976728292684
2024-01-02,45772.78433557036,39983.55588042821,51338.03999767058
2024-01-03,46100.44407651761,40493.10327659611,52108.6460657988
2024-01-04,46272.86672479227,40638.846453994345,51694.730933403254
2024-01-05,46476.94873023715,40607.390968875035,51750.225278007245
2024-01-06,46668.105085633055,41295.21635945719,52058.03036964846
2024-01-07,46851.3289488361,41350.89394011537,52467.51427057854
2024-01-08,47081.07569561918,41423.95634700214,52305.66299961058
2024-01-09,47137.77553182449,41350.630827854766,52797.313200688914
2024-01-10,47304.14347257718,41735.34732458995,52746.532509281795
2024-01-11,47311.8076133863,41590.75594157251,53102.97696618388
2024-01-12,47351.33980535955,41521.07253591597,52895.407146011894
2024-01-13,47381.883736442694,41352.73444353651,52707.05005112533
2024-01-14,47412.12703865961,41913.541408857294,52863.50630620518
2024-01-15,47500.097509169114,41996.76447109735,52921.499533812435
2024-01-16,47429.58979998354,41458.92069588352,53123.916120151596
2024-01-17,47486.3935826034,41992.32581023723,53078.94577025554
2024-01-18,47404.846224901325,41932.95647268436,53092.3459430992
2024-01-19,47377.79606260054,41659.23954108661,52825.399023931175
2024-01-20,47366.173041973336,41626.156248700274,53416.06433056333
2024-01-21,47379.91488499277,41726.27263647041,53221.41123144995
2024-01-22,47477.73011057951,41925.831185113806,53358.20388997258
2024-01-23,47443.5051926605,41852.42396209513,53473.396991900525
2024-01-24,47562.52744099961,42124.74453042743,53137.736192152355
2024-01-25,47568.04685848521,41581.732303225974,53342.50487721919
2024-01-26,47651.26290268904,42383.953281738955,53279.959684550435
2024-01-27,47770.93240515647,42551.01187223759,53164.76925480221
2024-01-28,47934.34591990238,42300.39306576661,53667.43432557289
2024-01-29,48197.152620000015,42229.4446437081,53961.75818046481
2024-01-30,48339.839503781186,42491.11553315175,54123.25798351305
2024-01-31,48644.03471164306,43144.92332667665,54144.48010696128
2024-02-01,48839.15620237008,42925.979208457095,54279.123925519234
2024-02-02,49112.48954394579,43935.179404604445,54872.96877613551
2024-02-03,49418.88878787966,43966.16004465043,55216.98426735189
2024-02-04,49761.845361914915,44127.333098337505,55412.758896533276
2024-02-05,50193.40277220512,44705.76138690696,56153.5754355056
2024-02-06,50490.72061824426,45161.977583710875,56067.31065591062
2024-02-07,50932.4555919049,45252.317466587665,56856.75252162474
2024-02-08,51245.47876408752,44929.079391028296,56460.378592133275
2024-02-09,51615.01120355391,46184.749037150155,57358.85641184892
2024-02-10,51994.370466126325,46095.25303688587,57218.33441615007
2024-02-11,52386.071774988275,46482.46937874401,57740.21810167663
2024-02-12,52841.76091445975,47165.90304008801,58578.75838765213
2024-02-13,53138.781936798005,47580.444027754595,58978.18412003734
2024-02-14,53556.5473244731,48204.00000605325,59540.42607724385
2024-02-15,53823.230257238676,48259.84114787969,58825.94783382524
2024-02-16,54125.86173910188,48451.68997532288,59782.81745611861
2024-02-17,54420.02617890923,48503.347585818694,59924.886762579874
2024-02-18,54710.90061706894,49133.00655410027,60483.81174935072
2024-02-19,55053.11627169536,49441.326354578014,60843.679115107974
2024-02-20,55227.247389376134,49874.38998746652,60709.00490501355
2024-02-21,55516.09711293959,50036.63905706981,61268.220086747606
2024-02-22,55651.30221449594,49589.539491060015,61388.78070898764
2024-02-23,55823.3417184821,50137.86726441793,61947.105309709514
2024-02-24,55991.145288628715,50335.87302803859,61527.76317205677
2024-02-25,56163.04880209033,50486.84546591782,61335.85372163216
2024-02-26,56396.577906816,51116.95310056776,61898.4832979755
2024-02-27,56474.86650687984,50664.46316187212,62144.32465863101
2024-02-28,56682.88163377872,51218.23395285036,62062.26561739846
2024-02-29,56753.97803900209,51111.41107002619,62729.72832188689
2024-03-01,56879.86872353478,51016.192232471774,62591.91940032571
2024-03-02,57020.208143677286,51166.9052064462,62713.20601343404
2024-03-03,57183.536035897385,51296.54300422765,63307.43277271584
2024-03-04,57427.06281920144,51591.666516968835,63275.9043657313
2024-03-05,57533.10332361951,51676.47728629303,62992.03226561681
2024-03-06,57785.329756297455,51900.90426881047,63061.88913604686
2024-03-07,57915.3663611025,52147.59899739596,63419.964051025316
2024-03-08,58112.81080141785,52057.903877772944,63492.506411714385
2024-03-09,58334.877547284996,52525.51841073961,64191.114434280295
2024-03-10,58587.40952052756,52661.653986581856,64155.389396997234
